UserName,Comment
natalieblume,Keashan was extremely easy to work with. Communicating my project needs was easy and he made the process fast and painless. The tool he created is 100% accurate and he even went above and beyond identifying a way I could further improve the project outcome. I am very pleased with his work and would highly recommend him for your next Excel project.
onesurya,It is very very good that I am working with Keashan. I have been working with him for a long time ago. Excellent as always! Thanks
karp123,Excellent job. They know what they are doing!
vladimizner,Thank you very much!
karp123,Awesome Job! On Time!
agconsultcoach,"I highly recommend him for any excel formulas. This was extremely complex. Amazing work, thank you!"
mbakara630,"Best Service , Best Price Many Thanks"
agulewinteredo,great seller. very responsive. Very professional. Smart. Flexible. Highly recommend him. Have worked with him several times.
karp123,Excellent job! On-Time!
vijaykoul165,"Awesome developer, great work ethic. Have worked with him bunch of times in the past. Will keep working with him in the future. Will not hesitate to recommend him."
karp123,Outstanding work. Fast! Will work with again
karp123,Incredible job! On time as always.
karp123,Great job again. Will use it often.
karp123,Was on time. Great job
karp123,Awesome! Timely
karp123,Incredible!
beercartel,"Successful project, thank you."
ekalb355,This is my 2nd gig with him and it was another great experience. 5 Stars all the way!
beercartel,All good thank you.
oranjeboom,"Fantastic work, great communication, and professional service!"
swing2,"Excellent solutions, quick work. Very impressive!"
ekalb355,Thank you. He delivered exactly what was needed. Very pleased.
oranjeboom,"Fantastic service, outstanding communication, and great value. Highly recommend!"
vijaykoul165,"Excellent Work. More than satisfied with both quality and promptness. A through professional. Will use his services, whenever possible."
urself,Will buy again
urself,Awesome job. Can highly recommend
beercartel,Always good.
beercartel,Always good
californiafrida,It’s always great working with Keashan. He continues to help me cut corners and save time in my business processes using his custom tools. Highly recommend.
nbenoni,Nice job thank you!
beercartel,Thanks again
beercartel,"Always good, thanks."
beercartel,Always great.
johnse,"I have worked with the Seller in the past and he is fast, efficient and has always delivered what he promises."
agulewinteredo,Great seller. Very fast and responsive. Highly recommended
elementarysh,Troubleshooting worked and even did remote access to evaluate the problem. Everything worked GREAT!
georgeforsyth,I am so satisfied with the service im going to give more work straight away
beercartel,Always good.
beercartel,Always great.
khadijakubra92,Great work always!!!!!
malikfaisal930,Awesome. Thank you
nikolasjbaret,Keashan is my go-to Fiverr for all excel related work
khadijakubra92,Awesome!!!!!!!
khadijakubra92,Beyond expectations always!!!!!!!!!!!!!!!!! Good job. Highly recommended!!!!
beercartel,Perfect as always
beercartel,Always good
handheldvacuum,Very good seller with high skill and nice!
georgeforsyth,great service as always
ab1524,"Keashan was very easy to work with, knowlegable, and patient. I am happy with the end result."
pixelweb_de,Excellent work done by keashan!
pixelweb_de,"Thanks for your work, iam really pleased! - Very good"
malikfaisal930,Awesome Experience
jessicabrown412,Thanks again for a great job!
malikfaisal930,Awesome thank you
jessicabrown412,Best seller on fiverr! Have been using for years.
malikfaisal930,Thank you so much. you are ab expert. keep going.
hawk1309,Amazing job. Totally understood what I needed and delivered way before the deadline. Thank you!!
tessaloe,Greatly accomplished task given!
malikfaisal930,Excellent. wowww
malikfaisal930,Excellent. Thank you. Best in class
purduekappa11,great work and fast
musicbrick,"This was an incredibly easy gig for me Keashan was on point every step of the way. His communication was second to none, down to being completely fluent in English. I was absolutely delighted with the end result and would highly recommend his services. Simply put... You've come to the right place"
vladimizner,
malikfaisal930,Excellent Experience. Thank you. highly recommended
georgeforsyth,great as always
beercartel,Always good
malikfaisal930,Great Experience.. Professional seller. Expert in Excel. you could call him Excel Guru...101% Recommended.
robertoguizzett,because i receive a good impression for this seller
beercartel,Always good.
beercartel,Always Good
mwjng2003,Very responsive and professional
mwjng2003,Another well delivered job.....Thanks
vishnuvt,Great to work with Mr. Keashan. It was a complex project and Keashan understood it very well.
californiafrida,Stress free - He gets everything done without much input from me.
georgeforsyth,great thanks for your help
branfred,Extremely fast and did exactly what I was looking for.
ajyajyajy,very easy to work with... easy to understand code! thank you!
onesurya,"Yes, He is very very good! He knows his job very well! I am a repeating customer."
gripfactorymuc,Excellent service provided by Keashan
